20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11403670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11403674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11403677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11403677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11403677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11413667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11413670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11413674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11413677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11413677 |[UPDATE][pNIC4] pNIC_Latency(530) 

20161122:11413677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11423667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11423670 |[UPDATE][pNIC2] pNIC_Latency(530) 

