20161122:11413652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11413652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11413652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11413653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11413653 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11413653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11413655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11413655 |[UPDATE][vSwitch8] vSwitch_Latency(20) 

20161122:11413655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11413659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11413659 |[UPDATE][vSwitch9] vSwitch_Latency(20) 

20161122:11413659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11413663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11413663 |[UPDATE][vSwitch10] vSwitch_Latency(20) 

20161122:11413663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11423643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11423643 |[UPDATE][vSwitch1] vSwitch_Latency(23) 

20161122:11423644 |[UPDATE][vSwitch2] vSwitch_Latency(20) 

20161122:11423644 |[UPDATE][vSwitch2] vSwitch_Latency(20) 

20161122:11423644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11423646 |[UPDATE][vSwitch3] vSwitch_Latency(20) 

20161122:11423646 |[UPDATE][vSwitch3] vSwitch_Latency(20) 

20161122:11423646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11423647 |[UPDATE][vSwitch4] vSwitch_Latency(20) 

20161122:11423647 |[UPDATE][vSwitch4] vSwitch_Latency(20) 

20161122:11423647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11423649 |[UPDATE][vSwitch5] vSwitch_Latency(20) 

20161122:11423649 |[UPDATE][vSwitch5] vSwitch_Latency(20) 

20161122:11423649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11423652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11423652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11423652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11423653 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11423653 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11423653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11423655 |[UPDATE][vSwitch8] vSwitch_Latency(20) 

20161122:11423655 |[UPDATE][vSwitch8] vSwitch_Latency(20) 

20161122:11423655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11423659 |[UPDATE][vSwitch9] vSwitch_Latency(20) 

20161122:11423659 |[UPDATE][vSwitch9] vSwitch_Latency(20) 

20161122:11423659 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11423663 |[UPDATE][vSwitch10] vSwitch_Latency(20) 

20161122:11423663 |[UPDATE][vSwitch10] vSwitch_Latency(20) 

20161122:11423663 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11433643 |[UPDATE][vSwitch1] vSwitch_Latency(23) 

20161122:11433643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11433644 |[UPDATE][vSwitch2] vSwitch_Latency(20) 

20161122:11433644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11433644 |[UPDATE][vSwitch2] vSwitch_Latency(21) 

20161122:11433646 |[UPDATE][vSwitch3] vSwitch_Latency(20) 

20161122:11433646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11433646 |[UPDATE][vSwitch3] vSwitch_Latency(21) 

20161122:11433647 |[UPDATE][vSwitch4] vSwitch_Latency(20) 

20161122:11433647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11433647 |[UPDATE][vSwitch4] vSwitch_Latency(21) 

20161122:11433649 |[UPDATE][vSwitch5] vSwitch_Latency(20) 

20161122:11433649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11433649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11433652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11433652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11433652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11433653 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11433653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11433653 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11433655 |[UPDATE][vSwitch8] vSwitch_Latency(20) 

20161122:11433655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11433655 |[UPDATE][vSwitch8] vSwitch_Latency(21) 

20161122:11433659 |[UPDATE][vSwitch9] vSwitch_Latency(20) 

20161122:11433659 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11433659 |[UPDATE][vSwitch9] vSwitch_Latency(21) 

20161122:11433663 |[UPDATE][vSwitch10] vSwitch_Latency(20) 

20161122:11433663 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11433663 |[UPDATE][vSwitch10] vSwitch_Latency(21) 

20161122:11443643 |[UPDATE][vSwitch1] vSwitch_Latency(20) 

20161122:11443643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11443644 |[UPDATE][vSwitch2] vSwitch_Latency(22) 

20161122:11443644 |[UPDATE][vSwitch2] vSwitch_Latency(22) 

20161122:11443644 |[UPDATE][vSwitch2] vSwitch_Latency(22) 

20161122:11443646 |[UPDATE][vSwitch3] vSwitch_Latency(22) 

20161122:11443646 |[UPDATE][vSwitch3] vSwitch_Latency(22) 

20161122:11443646 |[UPDATE][vSwitch3] vSwitch_Latency(22) 

20161122:11443647 |[UPDATE][vSwitch4] vSwitch_Latency(22) 

20161122:11443647 |[UPDATE][vSwitch4] vSwitch_Latency(22) 

20161122:11443647 |[UPDATE][vSwitch4] vSwitch_Latency(22) 

20161122:11443649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

20161122:11443649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

20161122:11443649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

